ZATTITUDEW,ZATTITUDEX,ZATTITUDEY,ZATTITUDEZ,ZGRAVITYX,ZGRAVITYY,ZGRAVITYZ,ZROTATIONRATEX,ZROTATIONRATEY,ZROTATIONRATEZ,ZTIMESTAMP,ZUSERACCELERATIONX,ZUSERACCELERATIONY,ZUSERACCELERATIONZ,ZLABEL
-0.366137683391571,0.006940213032067,-0.925643503665924,-0.095283806324005,0.679148495197296,-0.171315521001816,0.713728129863739,-0.287514269351959,-0.045080438256264,0.312563687562943,1490025068.263988018035889,0.171957671642303,0.624158740043640,-0.761862814426422,balanced
-0.366124898195267,0.006115787662566,-0.925465047359467,-0.097105257213116,0.678859353065491,-0.175256758928299,0.713045895099640,-0.286788314580917,-0.023428410291672,0.281457960605621,1490025068.273816108703613,0.195012152194977,0.618685960769653,-0.760546147823334,balanced
-0.365993827581406,0.005414004437625,-0.925336182117462,-0.098853528499603,0.678405046463013,-0.178982511162758,0.712552726268768,-0.274256080389023,0.005650646984577,0.259031236171722,1490025068.283643007278442,0.195466458797455,0.622411668300629,-0.760052978992462,balanced
-0.365754932165146,0.004719480406493,-0.925273776054382,-0.100345425307751,0.677794039249420,-0.182241633534432,0.712307691574097,-0.214214324951172,0.031849227845669,0.240189626812935,1490025068.293468952178955,0.220201671123505,0.644139587879181,-0.784167230129242,balanced
-0.365429073572159,0.003997671883553,-0.925295948982239,-0.101354435086250,0.677070438861847,-0.184643968939781,0.712377130985260,-0.105653777718544,0.051181912422180,0.211809918284416,1490025068.303296089172363,0.220925331115723,0.646541893482208,-0.784236729145050,balanced
-0.365044146776199,0.003138693515211,-0.925409018993378,-0.101739518344402,0.676268935203552,-0.186009809374809,0.712783396244049,0.024330589920282,0.064279340207577,0.193158999085426,1490025068.313122987747192,0.238908827304840,0.664855360984802,-0.827400445938110,balanced
-0.364644169807434,0.002197990426794,-0.925593137741089,-0.101522982120514,0.675470590591431,-0.186334982514381,0.713454961776733,0.139758110046387,0.071121267974377,0.162404283881187,1490025068.322948932647705,0.239707171916962,0.665180563926697,-0.828072071075439,balanced
-0.364246040582657,0.001246088882908,-0.925816059112549,-0.100934423506260,0.674701213836670,-0.185985654592514,0.714273869991302,0.199317321181297,0.072508774697781,0.138613477349281,1490025068.332776069641113,0.234920978546143,0.651734709739685,-0.845192551612854,balanced
-0.363761723041534,0.000346421875292,-0.926096320152283,-0.100113309919834,0.673826158046722,-0.185177102684975,0.715309023857117,0.234110444784164,0.105064056813717,0.114907331764698,1490025068.342571020126343,0.235796034336090,0.650926232337952,-0.846227765083313,balanced
-0.363070249557495,-0.000370820693206,-0.926456570625305,-0.099285803735256,0.672663986682892,-0.184237241744995,0.716643810272217,0.207656472921371,0.155300065875053,0.076654754579067,1490025068.352399110794067,0.217140138149262,0.618468463420868,-0.847720265388489,balanced
-0.362162202596664,-0.000811656354927,-0.926887154579163,-0.098577976226807,0.671206951141357,-0.183329224586487,0.718240916728973,0.161780327558518,0.204573333263397,0.041926600039005,1490025068.362226009368896,0.218597233295441,0.617560446262360,-0.849317312240601,balanced
-0.361128628253937,-0.000990110449493,-0.927355349063873,-0.097962163388729,0.669595122337341,-0.182406589388847,0.719977855682373,0.131264761090279,0.232508569955826,-0.001274396898225,1490025068.372051954269409,0.243843913078308,0.588971436023712,-0.841228187084198,balanced
-0.360045224428177,-0.000931304472033,-0.927835524082184,-0.097402244806290,0.667944073677063,-0.181417152285576,0.721759259700775,0.106493219733238,0.243126317858696,-0.042186941951513,1490025068.381879091262817,0.245494961738586,0.587981998920441,-0.843009769916534,balanced
-0.359009712934494,-0.000638337514829,-0.928303956985474,-0.096761085093021,0.666416764259338,-0.180105730891228,0.723497271537781,0.110332965850830,0.230933576822281,-0.096298910677433,1490025068.391705989837646,0.300371468067169,0.571442723274231,-0.842048227787018,balanced
-0.358109593391419,-0.000125714170281,-0.928734004497528,-0.095967456698418,0.665152966976166,-0.178346514701843,0.725093722343445,0.127009972929955,0.203782901167870,-0.149173587560654,1490025068.401531934738159,0.301635205745697,0.569683492183685,-0.843644678592682,balanced
-0.357407242059708,0.000575563346501,-0.929102361202240,-0.095013707876205,0.664245188236237,-0.176143497228622,0.726463079452515,0.138702586293220,0.163119107484818,-0.201016545295715,1490025068.411359071731567,0.333705246448517,0.540802478790283,-0.856305778026581,balanced
-0.356855422258377,0.001450253417715,-0.929421126842499,-0.093953661620617,0.663610458374023,-0.173609972000122,0.727651476860046,0.143621012568474,0.140100345015526,-0.239679783582687,1490025068.421185016632080,0.334339976310730,0.538268983364105,-0.857494175434113,balanced
-0.356292843818665,0.002496814820915,-0.929738163948059,-0.092924103140831,0.662982165813446,-0.171010971069336,0.728838562965393,0.116373673081398,0.157171204686165,-0.267314314842224,1490025068.431011915206909,0.313695371150971,0.482325881719589,-0.869171679019928,balanced
-0.355649650096893,0.003676300868392,-0.930074334144592,-0.091980300843716,0.662237524986267,-0.168482080101967,0.730103552341461,0.097261786460876,0.169383391737938,-0.285262703895569,1490025068.440841913223267,0.314439952373505,0.479797005653381,-0.870436608791351,balanced
