ZINITIALTIMESTAMP,ZFINALTIMESTAMP,ZGRAVITYXMEAN,ZGRAVITYXMAX,ZGRAVITYXMIN,ZGRAVITYXDIFFMAXMIN,ZGRAVITYXDIFFMEAN,ZGRAVITYXSTDDEV,ZGRAVITYXRMS,ZGRAVITYXSUMOFDIFFERENCES,ZGRAVITYYMEAN,ZGRAVITYYMAX,ZGRAVITYYMIN,ZGRAVITYYDIFFMAXMIN,ZGRAVITYYDIFFMEAN,ZGRAVITYYSTDDEV,ZGRAVITYYRMS,ZGRAVITYYSUMOFDIFFERENCES,ZGRAVITYZMEAN,ZGRAVITYZMAX,ZGRAVITYZMIN,ZGRAVITYZDIFFMAXMIN,ZGRAVITYZDIFFMEAN,ZGRAVITYZSTDDEV,ZGRAVITYZRMS,ZGRAVITYZSUMOFDIFFERENCES,SUMOFMAGNITUDEDIFFERENCES,Z3DVOLUME,ZBALANCED,ZIMBALANCED,ZLABEL
1491129094.627477884292603,1491129094.807357072830200,-0.165314141856997,-0.159262523055077,-0.168400630354881,0.009138107299805,-0.010429139984281,0.002521135746361,0.165333365124426,-0.009138107299805,-0.940108402779228,-0.928277552127838,-0.950503170490265,0.022225618362427,-0.006232186367637,0.007978602598242,0.940142258956341,-0.022199392318726,0.296835643680472,0.336059898138046,0.261218011379242,0.074841886758804,-0.026500642299652,0.026191737865995,0.297988936861155,-0.074841886758804,0.000000011763224,0.000000511445842,0.000000000000000,19.000000000000000,imbalanced
1491129094.827339887619019,1491129095.007236957550049,-0.152255162596703,-0.150003105401993,-0.157014772295952,0.007011666893959,-0.013058979260294,0.001785887912428,0.152265636087018,-0.003243148326874,-0.929644625437887,-0.928002595901489,-0.930631041526794,0.002628445625305,-0.010463777341341,0.000866379459035,0.929645029147640,0.002628445625305,0.335517086480793,0.338322371244430,0.332084566354752,0.006237804889679,-0.038681442800321,0.001891673944027,0.335522419147917,0.005787521600723,-0.000000001231956,0.000000000436714,0.000000000000000,19.000000000000000,imbalanced
1491129095.027221918106079,1491129095.207093000411987,-0.160106236997404,-0.155327558517456,-0.162695154547691,0.007367596030235,0.007851074400701,0.002312216885268,0.160122932375076,0.006113946437836,-0.934530807168860,-0.931281030178070,-0.938336372375488,0.007055342197418,0.004886181730973,0.002277200544667,0.934533581627756,0.007055342197418,0.317722645245100,0.329528391361237,0.305714756250382,0.023813635110855,0.017794441235693,0.007741958726855,0.317816955536473,0.023813635110855,-0.000000025558303,0.000000005462023,0.000000000000000,19.000000000000000,imbalanced
1491129095.227099895477295,1491129095.406986951828003,-0.164286397005382,-0.160238489508629,-0.170630246400833,0.010391756892204,0.004180160007979,0.002812685293473,0.164310472702047,0.008396387100220,-0.943736418297416,-0.941155374050140,-0.945812344551086,0.004656970500946,0.009205611128556,0.001010921592472,0.943736959742121,0.004656970500946,0.286951069769106,0.296490728855133,0.276268661022186,0.020222067832947,0.030771575475994,0.004658827600820,0.286988886746941,0.020222067832947,-0.000000014825472,0.000000007346835,5.000000000000000,14.000000000000000,imbalanced
1491129095.426970958709717,1491129095.606861114501953,-0.171203903461757,-0.167525067925453,-0.176009684801102,0.008484616875648,0.006917506456375,0.002116609002166,0.171216986873998,0.003952696919441,-0.951106883977589,-0.947275340557098,-0.954273223876953,0.006997883319855,0.007370465680173,0.002341362747278,0.951109765867785,0.000172019004822,0.256923917877047,0.270306915044784,0.245383575558662,0.024923339486122,0.030027151892060,0.008065254016378,0.257050477337896,0.003166347742081,0.000000007622028,0.000000026570991,19.000000000000000,0.000000000000000,balanced
1491129095.626831054687500,1491129095.806696891784668,-0.174087630290734,-0.167029753327370,-0.183383256196976,0.016353502869606,0.002883726828977,0.004097991393879,0.174135856599690,-0.003560051321983,-0.954249469857467,-0.944546580314636,-0.957013845443726,0.012467265129089,0.003142585879878,0.003515484673956,0.954255945412838,0.010091841220856,0.242736198400196,0.272401094436646,0.231504797935486,0.040896296501160,0.014187719476850,0.012305737316587,0.243047923637879,0.035385265946388,0.000000015483736,0.000000139059857,19.000000000000000,0.000000000000000,balanced
1491129095.826694965362549,1491129096.006591081619263,-0.191932104920086,-0.181497961282730,-0.203823566436768,0.022325605154038,0.017844474629352,0.006083164733144,0.192028481721399,0.022325605154038,-0.952711848836196,-0.947974503040314,-0.955822169780731,0.007847666740417,-0.001537621021271,0.002668121762149,0.952715584939504,-0.007640540599823,0.235416368434304,0.244540899991989,0.227256879210472,0.017284020781517,0.007319829965893,0.006100727913047,0.235495404218139,-0.012466862797737,0.000000011951171,0.000000032700482,19.000000000000000,0.000000000000000,balanced
1491129096.026577949523926,1491129096.206465959548950,-0.248204795937789,-0.209443360567093,-0.274146527051926,0.064703166484833,0.056272691017703,0.022661413209751,0.249237156891148,0.060872495174408,-0.932056163486682,-0.909802079200745,-0.946701228618622,0.036899149417877,-0.020655685349515,0.012239639019020,0.932136524687681,-0.036899149417877,0.261594477452730,0.314943730831146,0.242572098970413,0.072371631860733,-0.026178109018426,0.023888651284085,0.262682961560013,-0.070218771696091,0.000000002202100,0.000001208248835,8.000000000000000,11.000000000000000,imbalanced
1491129096.226453065872192,1491129096.406339883804321,-0.256476707364383,-0.243639007210732,-0.270463049411774,0.026824042201042,0.008271911426594,0.008528076388338,0.256618451221577,0.006289660930634,-0.878612599874798,-0.860078930854797,-0.907958865165710,0.047879934310913,-0.053443563611884,0.017469503314162,0.878786256267583,-0.041404426097870,0.400155150576642,0.447927534580231,0.325304567813873,0.122622966766357,-0.138560673123912,0.041922906144948,0.402345218180424,-0.094139307737351,-0.000000039923772,0.000014699421367,0.000000000000000,19.000000000000000,imbalanced
1491129096.426304101943970,1491129096.606213092803955,-0.292157844493264,-0.265772849321365,-0.312563598155975,0.046790748834610,0.035681137128880,0.017657983737588,0.292690981221880,0.028428137302399,-0.859609992880570,-0.853715598583221,-0.865126669406891,0.011411070823669,-0.019002606994227,0.003413292213078,0.859616769510615,-0.011411070823669,0.418650879671699,0.431305646896362,0.399308711290359,0.031996935606003,-0.018495729095057,0.011065767656466,0.418797099158667,-0.004180401563644,-0.000000014687173,0.000000379784065,0.000000000000000,19.000000000000000,imbalanced
