ZINITIALTIMESTAMP,ZFINALTIMESTAMP,ZGRAVITYXMEAN,ZGRAVITYXMAX,ZGRAVITYXMIN,ZGRAVITYXDIFFMAXMIN,ZGRAVITYXDIFFMEAN,ZGRAVITYXSTDDEV,ZGRAVITYXRMS,ZGRAVITYXSUMOFDIFFERENCES,ZGRAVITYYMEAN,ZGRAVITYYMAX,ZGRAVITYYMIN,ZGRAVITYYDIFFMAXMIN,ZGRAVITYYDIFFMEAN,ZGRAVITYYSTDDEV,ZGRAVITYYRMS,ZGRAVITYYSUMOFDIFFERENCES,ZGRAVITYZMEAN,ZGRAVITYZMAX,ZGRAVITYZMIN,ZGRAVITYZDIFFMAXMIN,ZGRAVITYZDIFFMEAN,ZGRAVITYZSTDDEV,ZGRAVITYZRMS,ZGRAVITYZSUMOFDIFFERENCES,SUMOFMAGNITUDEDIFFERENCES,Z3DVOLUME,ZBALANCED,ZIMBALANCED,ZLABEL
1494429303.183757066726685,1494429303.363666057586670,0.032439885759040,0.033987253904343,0.031254723668098,0.002732530236244,0.003336546452422,0.000847501242263,0.032450954476181,0.002732530236244,-0.996853662164588,-0.996805906295776,-0.996878564357758,0.000072658061981,0.000204073755365,0.000021094696160,0.996853662387783,0.000020980834961,0.072315553301259,0.073207214474678,0.071890935301781,0.001316279172897,0.001228535253751,0.000396469987681,0.072316640116355,-0.000937871634960,0.000000004629560,0.000000000000799,19.000000000000000,0.000000000000000,balanced
1494429303.383656978607178,1494429303.563565015792847,0.029829571317685,0.031067518517375,0.028932388871908,0.002135129645467,0.002610314441355,0.000705488512206,0.029837912779511,0.002129476517439,-0.996763351716493,-0.996690332889557,-0.996810972690582,0.000120639801025,-0.000090310448094,0.000035022161021,0.996763352331761,-0.000120639801025,0.074645726304305,0.075966812670231,0.073503412306309,0.002463400363922,-0.002330173003046,0.000735030540186,0.074649345110270,-0.002463400363922,0.000000035513141,0.000000000001749,19.000000000000000,0.000000000000000,balanced
1494429303.583554983139038,1494429303.763442039489746,0.027981787723930,0.028828652575612,0.027119578793645,0.001709073781967,0.001847783593755,0.000577234312135,0.027987740953464,0.001709073781967,-0.996619255919206,-0.996471583843231,-0.996679961681366,0.000208377838135,-0.000144095797288,0.000061021467853,0.996619257787331,-0.000208377838135,0.077238542076788,0.079428799450397,0.076144404709339,0.003284394741058,-0.002592815772483,0.000976277174360,0.077244711788374,-0.003284394741058,-0.000000007774040,0.000000000001217,19.000000000000000,0.000000000000000,balanced
1494429303.783421993255615,1494429303.963340997695923,0.024785083865649,0.026954788714647,0.021755464375019,0.005199324339628,0.003196703858281,0.001650569239884,0.024839983112774,0.005199324339628,-0.996240669175198,-0.996113002300262,-0.996420681476593,0.000307679176331,-0.000378586744007,0.000091463373447,0.996240673373756,-0.000307679176331,0.082976051851323,0.085355825722218,0.080120041966438,0.005235783755779,-0.005737509774534,0.001568245954402,0.082990870438904,-0.005235783755779,-0.000000037166452,0.000000000043151,19.000000000000000,0.000000000000000,balanced
1494429303.983355998992920,1494429304.163248062133789,0.020641258378562,0.021200628951192,0.020175930112600,0.001024698838592,0.004143825487087,0.000356073241769,0.020644329381311,-0.000041583552957,-0.995710391747324,-0.995368480682373,-0.996064245700836,0.000695765018463,-0.000530277427874,0.000230245654412,0.995710418368047,-0.000695765018463,0.090156993583629,0.093766398727894,0.086071677505970,0.007694721221924,-0.007180941732306,0.002511516623563,0.090191968643494,-0.007694721221924,0.000000001950086,0.000000000025540,19.000000000000000,0.000000000000000,balanced
1494429304.183254003524780,1494429304.363161087036133,0.020472424693013,0.021064013242722,0.020073726773262,0.000990286469460,0.000168833685549,0.000294765758742,0.020474546629013,0.000304240733385,-0.995250551324142,-0.995057165622711,-0.995382308959961,0.000325143337250,-0.000459840423182,0.000119384449293,0.995250558484473,-0.000313341617584,0.095160722732544,0.097109369933605,0.093758083879948,0.003351286053658,-0.005003729148915,0.001248037045526,0.095168906410902,-0.003334052860737,-0.000000005655418,0.000000000006518,19.000000000000000,0.000000000000000,balanced
1494429304.383152008056641,1494429304.563043117523193,0.023154404798621,0.027141103520989,0.020968548953533,0.006172554567456,-0.002681980105607,0.002127610312553,0.023251950181016,-0.006172554567456,-0.994892255256051,-0.994611859321594,-0.995051205158234,0.000439345836639,-0.000358296068091,0.000158478263278,0.994892267878201,-0.000438451766968,0.098221940821723,0.100053042173386,0.097097501158714,0.002955541014671,-0.003061218089179,0.001087205643661,0.098227957705012,-0.002918347716331,-0.000000025470860,0.000000000015876,19.000000000000000,0.000000000000000,balanced
1494429304.583048105239868,1494429304.762923002243042,0.029239802180152,0.030071724206209,0.028086777776480,0.001984946429729,-0.006085397381532,0.000501055516559,0.029244094928124,-0.001984946429729,-0.994670714202680,-0.994554579257965,-0.994768857955933,0.000214278697968,-0.000221541053370,0.000081394555472,0.994670717532965,0.000180006027222,0.098863765989479,0.100227214396000,0.097760036587715,0.002467177808285,-0.000641825167756,0.000945040380696,0.098868282714649,0.002390533685684,-0.000000025993400,0.000000000005198,19.000000000000000,0.000000000000000,balanced
1494429304.782911062240601,1494429304.922830104827881,0.029409127434095,0.030309621244669,0.027808079496026,0.002501541748643,-0.000169325253943,0.000806265583437,0.029420177440421,0.002501541748643,-0.994614215691884,-0.994555771350861,-0.994702935218811,0.000147163867950,-0.000056498510796,0.000043317534239,0.994614216635169,-0.000049650669098,0.099381867051125,0.099886380136013,0.098221123218536,0.001665256917477,-0.000518101061645,0.000531744356630,0.099383289594520,-0.001235418021679,-0.000000028913516,0.000000000002386,15.000000000000000,0.000000000000000,balanced
1494429632.680231094360352,1494429632.880148887634277,-0.090481500895250,-0.086160816252232,-0.094038009643555,0.007877193391323,0.090481500895250,0.002519835167681,0.090516581760081,-0.007443577051163,-0.994008410544623,-0.993720769882202,-0.994383215904236,0.000662446022034,0.994008410544623,0.000232574408925,0.994008437753072,0.000254452228546,0.061196837396849,0.067408941686153,0.056942529976368,0.010466411709785,-0.061196837396849,0.002988857878822,0.061269781938539,-0.006485316902399,0.000000016736462,0.000000002246693,21.000000000000000,0.000000000000000,balanced
