ZINITIALTIMESTAMP,ZFINALTIMESTAMP,ZGRAVITYXMEAN,ZGRAVITYXMAX,ZGRAVITYXMIN,ZGRAVITYXDIFFMAXMIN,ZGRAVITYXDIFFMEAN,ZGRAVITYXSTDDEV,ZGRAVITYXRMS,ZGRAVITYXSUMOFDIFFERENCES,ZGRAVITYYMEAN,ZGRAVITYYMAX,ZGRAVITYYMIN,ZGRAVITYYDIFFMAXMIN,ZGRAVITYYDIFFMEAN,ZGRAVITYYSTDDEV,ZGRAVITYYRMS,ZGRAVITYYSUMOFDIFFERENCES,ZGRAVITYZMEAN,ZGRAVITYZMAX,ZGRAVITYZMIN,ZGRAVITYZDIFFMAXMIN,ZGRAVITYZDIFFMEAN,ZGRAVITYZSTDDEV,ZGRAVITYZRMS,ZGRAVITYZSUMOFDIFFERENCES,SUMOFMAGNITUDEDIFFERENCES,Z3DVOLUME,ZBALANCED,ZIMBALANCED,ZLABEL
1494429293.484796047210693,1494429293.661614894866943,0.915321612358093,0.933438003063202,0.899176120758057,0.034261882305145,-0.023243351777395,0.011785729068626,0.915397486046088,-0.034261882305145,0.345924890041351,0.366430580615997,0.314380079507828,0.052050501108170,0.011854500240750,0.018981372866344,0.346445265613505,0.052026122808456,-0.203859426081181,-0.172794118523598,-0.239224687218666,0.066430568695068,-0.071618953512775,0.021537616327351,0.204993986544027,-0.066430568695068,0.000000252431028,0.000001134084561,10.000000000000000,0.000000000000000,balanced
1494429293.700921058654785,1494429293.858088016510010,0.930885540114509,0.935627281665802,0.923217535018921,0.012409746646881,-0.015563927756415,0.004089564247136,0.930894523203361,0.012409746646881,0.328920169009103,0.348463416099548,0.313142925500870,0.035320490598678,0.017004721032249,0.010944114116926,0.329102189623194,-0.035320490598678,-0.158481236961153,-0.153449997305870,-0.162917718291283,0.009467720985413,-0.045378189120028,0.003157919562696,0.158512696414835,-0.000923499464989,-0.000000205668824,0.000000106524044,9.000000000000000,0.000000000000000,balanced
1494429293.897393941879272,1494429294.054559946060181,0.908444609906938,0.918377816677094,0.898260414600372,0.020117402076721,0.022440930207570,0.006571710392665,0.908468379552340,0.020117402076721,0.380476646953159,0.402024477720261,0.359164386987686,0.042860090732574,-0.051556477944056,0.014190865259290,0.380741197578521,-0.042860090732574,-0.172365082634820,-0.166079849004746,-0.177494764328003,0.011414915323257,0.013883845673667,0.003376557321485,0.172398152110322,0.011414915323257,-0.000000228598979,0.000000056455565,9.000000000000000,0.000000000000000,balanced
1494429294.093866109848022,1494429294.251032114028931,0.880156166023678,0.891235589981079,0.874249994754791,0.016985595226288,0.028288443883260,0.005861460896749,0.880175683209520,0.016985595226288,0.435041639539931,0.447222739458084,0.414437294006348,0.032785445451736,-0.054564992586772,0.011171607047024,0.435185055967693,-0.032785445451736,-0.189469511310259,-0.184228777885437,-0.191919833421707,0.007691055536270,0.017104428675440,0.002393670979808,0.189484630978104,0.004659131169319,-0.000000242045463,0.000000032719699,9.000000000000000,0.000000000000000,balanced
1494429294.290338993072510,1494429294.447504043579102,0.875554005304972,0.876389682292938,0.874579668045044,0.001810014247894,0.004602160718706,0.000614029997106,0.875554220615958,-0.000927150249481,0.449863202042050,0.452976882457733,0.448068529367447,0.004908353090286,-0.014821562502119,0.001340678793601,0.449865199777838,-0.004908353090286,-0.176055638326539,-0.168224304914474,-0.185324028134346,0.017099723219872,-0.013413872983721,0.005514146655853,0.176141970012565,-0.017099723219872,0.000000168242983,0.000000002876695,9.000000000000000,0.000000000000000,balanced
1494429294.486810922622681,1494429294.663630008697510,0.873273640871048,0.884381294250488,0.869242131710052,0.015139162540436,0.002280364433924,0.004654711447296,0.873286046023199,-0.011537849903107,0.462567362189293,0.468623965978622,0.448132872581482,0.020491093397141,-0.012704160147243,0.006108179006391,0.462607689531351,0.010935246944428,-0.152431014180183,-0.130562677979469,-0.165531635284424,0.034968957304955,-0.023624624146356,0.011415875588301,0.152857895770702,-0.034968957304955,-0.000000009502140,0.000000155026902,10.000000000000000,0.000000000000000,balanced
1494429294.702905893325806,1494429294.860117912292480,0.914512534936269,0.924021244049072,0.897513389587402,0.026507854461670,-0.041238894065221,0.008755137569134,0.914554442878834,-0.026507854461670,0.388506005207698,0.424361854791641,0.367148965597153,0.057212889194488,0.074061356981595,0.018952103124464,0.388967991350553,0.057212889194488,-0.110786721938186,-0.106331884860992,-0.119945392012596,0.013613507151604,-0.041644292241997,0.004519040842491,0.110878850498844,-0.013239681720734,0.000000217176996,0.000000093427690,9.000000000000000,0.000000000000000,balanced
1494429294.899394035339355,1494429295.056590080261230,0.905984984503852,0.922511696815491,0.885423123836517,0.037088572978973,0.008527550432417,0.012511599225903,0.906071372609043,0.037088572978973,0.402828047672908,0.442724347114563,0.369940668344498,0.072783678770065,-0.014322042465210,0.024605837063464,0.403578843857752,-0.072783678770065,-0.126665595504973,-0.110071569681168,-0.141495749354362,0.031424179673195,0.015878873566786,0.010698945157961,0.127116641365804,0.031424179673195,-0.000000161764583,0.000000080634885,9.000000000000000,0.000000000000000,balanced
1494429295.095865964889526,1494429295.253062009811401,0.873620834615495,0.879770159721375,0.869830787181854,0.009939372539520,0.032364149888357,0.003309824111740,0.873627104438688,-0.003387272357941,0.464427818854650,0.470598757266998,0.455624073743820,0.014974683523178,-0.061599771181742,0.005149086639773,0.464456361803035,0.002992898225784,-0.145038957397143,-0.135687515139580,-0.148880988359451,0.013193473219871,0.018373361892170,0.004432730872314,0.145106678915330,-0.011361807584762,0.000000031639943,0.000000019204091,9.000000000000000,0.000000000000000,balanced
1494429295.292337894439697,1494429295.449533939361572,0.875380820698208,0.882275104522705,0.870322763919830,0.011952340602875,-0.001759986082713,0.004537781230056,0.875392582048055,0.010443866252899,0.469508171081543,0.481898397207260,0.452978223562241,0.028920173645019,-0.005080352226893,0.010854635282094,0.469633629353183,-0.027466922998428,-0.114089424411456,-0.095301747322083,-0.128067120909691,0.032765373587608,-0.030949532985687,0.010748167448895,0.114594589165662,-0.032765373587608,0.000000074310431,0.000000146464222,9.000000000000000,0.000000000000000,balanced
