IOS - ZINITIALTIMESTAMP,IOS - ZFINALTIMESTAMP,IOS - ZGRAVITYXMEAN,IOS - ZGRAVITYXMAX,IOS - ZGRAVITYXMIN,IOS - ZGRAVITYXDIFFMAXMIN,IOS - ZGRAVITYXDIFFMEAN,IOS - ZGRAVITYXSTDDEV,IOS - ZGRAVITYXRMS,IOS - ZGRAVITYXSUMOFDIFFERENCES,IOS - ZGRAVITYYMEAN,IOS - ZGRAVITYYMAX,IOS - ZGRAVITYYMIN,IOS - ZGRAVITYYDIFFMAXMIN,IOS - ZGRAVITYYDIFFMEAN,IOS - ZGRAVITYYSTDDEV,IOS - ZGRAVITYYRMS,IOS - ZGRAVITYYSUMOFDIFFERENCES,IOS - ZGRAVITYZMEAN,IOS - ZGRAVITYZMAX,IOS - ZGRAVITYZMIN,IOS - ZGRAVITYZDIFFMAXMIN,IOS - ZGRAVITYZDIFFMEAN,IOS - ZGRAVITYZSTDDEV,IOS - ZGRAVITYZRMS,IOS - ZGRAVITYZSUMOFDIFFERENCES,IOS - SUMOFMAGNITUDEDIFFERENCES,IOS - Z3DVOLUME,IOS - ZBALANCED,IOS - ZIMBALANCED,IOS - ZLABEL,WATCHOS - ZINITIALTIMESTAMP,WATCHOS - ZFINALTIMESTAMP,WATCHOS - ZGRAVITYXMEAN,WATCHOS - ZGRAVITYXMAX,WATCHOS - ZGRAVITYXMIN,WATCHOS - ZGRAVITYXDIFFMAXMIN,WATCHOS - ZGRAVITYXDIFFMEAN,WATCHOS - ZGRAVITYXSTDDEV,WATCHOS - ZGRAVITYXRMS,WATCHOS - ZGRAVITYXSUMOFDIFFERENCES,WATCHOS - ZGRAVITYYMEAN,WATCHOS - ZGRAVITYYMAX,WATCHOS - ZGRAVITYYMIN,WATCHOS - ZGRAVITYYDIFFMAXMIN,WATCHOS - ZGRAVITYYDIFFMEAN,WATCHOS - ZGRAVITYYSTDDEV,WATCHOS - ZGRAVITYYRMS,WATCHOS - ZGRAVITYYSUMOFDIFFERENCES,WATCHOS - ZGRAVITYZMEAN,WATCHOS - ZGRAVITYZMAX,WATCHOS - ZGRAVITYZMIN,WATCHOS - ZGRAVITYZDIFFMAXMIN,WATCHOS - ZGRAVITYZDIFFMEAN,WATCHOS - ZGRAVITYZSTDDEV,WATCHOS - ZGRAVITYZRMS,WATCHOS - ZGRAVITYZSUMOFDIFFERENCES,WATCHOS - SUMOFMAGNITUDEDIFFERENCES,WATCHOS - Z3DVOLUME,WATCHOS - ZBALANCED,WATCHOS - ZIMBALANCED,WATCHOS - ZLABEL
1494424956.533129930496216,1494424956.713064908981323,0.003928214127786,0.074327535927296,-0.092063322663307,0.166390858590603,0.085175514405005,0.057163113770966,0.057297927032539,0.166390858590603,-0.995545970766168,-0.991471707820892,-0.999419808387756,0.007948100566864,0.006492413972554,0.002901659522788,0.995550199405704,-0.005390524864197,-0.044135462786806,0.035007752478123,-0.120415940880775,0.155423693358898,0.125780092919932,0.060405492599363,0.074811513897108,0.099069175310433,-0.000000011155057,0.000125349722128,19.000000000000000,0.000000000000000,balanced,1494424956.386650085449219,1494424956.543814897537231,0.557043022579617,0.580705523490906,0.525565564632416,0.055139958858490,0.041677806112501,0.018131189162151,0.557338020437391,0.055139958858490,0.781803839736515,0.823880732059479,0.732459127902985,0.091421604156494,-0.153088695473141,0.029148607674052,0.782347036267214,-0.091421604156494,0.274253846870528,0.355365633964539,0.212134703993797,0.143230929970741,0.218004029658106,0.045742437958883,0.278042340577304,0.143230929970741,0.000000128419746,0.000001566899792,9.000000000000000,0.000000000000000,balanced
1494424956.733056068420410,1494424956.912942886352539,-0.099485013830034,-0.068962007761002,-0.116531565785408,0.047569558024406,0.103413227957820,0.014013096057698,0.100467083355119,-0.034460343420506,-0.989354484959653,-0.985316812992096,-0.995860993862152,0.010544180870056,-0.006191485806515,0.003089701941700,0.989359309436096,0.005243957042694,-0.103336448536107,-0.059204351156950,-0.129642456769943,0.070438105612993,0.059200985749301,0.019902466538243,0.105235591747096,-0.030135910958052,-0.000000027005403,0.000002912928183,19.000000000000000,0.000000000000000,balanced,1494424956.583122014999390,1494424956.740288019180298,0.466929164197710,0.503761649131775,0.448255509138107,0.055506139993668,0.090113858381907,0.018947179774446,0.467313428011412,0.048670560121536,0.872469729847378,0.887252569198608,0.842904567718506,0.044348001480103,-0.090665890110864,0.015421437600397,0.872606010887858,-0.042083442211151,0.138525287310282,0.189039796590805,0.098427444696426,0.090612351894379,0.135728559560246,0.031422330265227,0.142044422853181,0.090612351894379,0.000000157613282,0.000004140601871,9.000000000000000,0.000000000000000,balanced
1494424956.932954072952271,1494424957.112863063812256,-0.034795583078736,-0.015236809849739,-0.059712592512369,0.044475782662630,-0.064689430751299,0.012903952121797,0.037111246033390,-0.044475782662630,-0.999162062218315,-0.997256577014923,-0.999683916568756,0.002427339553833,0.009807577258662,0.000648487536184,0.999162272662674,0.002282977104187,0.001674814517365,0.026239857077599,-0.043746702373028,0.069986559450626,-0.105011263053472,0.017166858432010,0.017248363171392,-0.069986559450626,0.000000018675052,0.000001048262425,19.000000000000000,0.000000000000000,balanced,1494424956.779593944549561,1494424956.936789989471436,0.521396696567535,0.560469388961792,0.475264489650726,0.085204899311066,-0.054467532369826,0.027151855319658,0.522103187539435,-0.085204899311066,0.836082047886319,0.873514115810394,0.794997096061707,0.078517019748688,0.036387681961060,0.024857535271865,0.836451485656863,0.078517019748688,0.161512070231968,0.232062056660652,0.105340711772442,0.126721344888210,-0.022986782921685,0.040872068253237,0.166603345686434,-0.126721344888210,0.000000397174288,0.000004031945557,9.000000000000000,0.000000000000000,balanced
1494424957.132853984832764,1494424957.312762975692749,0.022642075159590,0.044617444276810,-0.012252357788384,0.056869802065194,-0.057437658238326,0.020914297778352,0.030823228563765,-0.052382034249604,-0.994195219717528,-0.989035129547119,-0.999374508857727,0.010339379310608,-0.004966842500787,0.003687212057863,0.994202057150327,-0.010339379310608,0.095936243079211,0.142123505473137,0.033173196017742,0.108950309455395,-0.094261428561846,0.037529195429448,0.103015548562996,-0.108950309455395,0.000000010470444,0.000003486790258,19.000000000000000,0.000000000000000,balanced,1494424956.976066112518311,1494424957.133261919021606,0.624378124872843,0.639301478862762,0.586963117122650,0.052338361740112,-0.102981428305308,0.017740160858941,0.624630095438115,-0.052338361740112,0.663111872143216,0.756255030632019,0.574881672859192,0.181373357772827,0.172970175743103,0.057852336853158,0.665630714327886,0.181373357772827,0.402159684234195,0.510690331459045,0.289053976535797,0.221636354923248,-0.240647614002228,0.070997035641187,0.408378489508426,-0.221636354923248,-0.000000179870780,0.000021300604327,9.000000000000000,0.000000000000000,balanced
1494424957.332752943038940,1494424957.512655019760132,0.047637787108359,0.070348151028156,0.034510519355536,0.035837631672621,-0.024995711948769,0.012736131254050,0.049310929821914,-0.033624660223722,-0.981538825913479,-0.973551154136658,-0.989126622676849,0.015575468540192,-0.012656393804048,0.005251742460071,0.981552875587698,0.003806531429291,0.181963308077109,0.225380614399910,0.129149556159973,0.096231058239937,-0.086027064997899,0.031807831856466,0.184722450324194,0.037570819258690,0.000000017337596,0.000004392675576,19.000000000000000,0.000000000000000,balanced,1494424957.172538995742798,1494424957.349426031112671,0.625708663463593,0.639365434646606,0.606678307056427,0.032687127590179,-0.001330538590749,0.011349595980703,0.625811588948559,0.032687127590179,0.536333757638931,0.565457463264465,0.519302308559418,0.046155154705048,0.126778114504284,0.014439385372491,0.536528093796617,-0.028846859931946,0.566085553169250,0.572275996208191,0.550691008567810,0.021584987640381,-0.163925868935055,0.006656170250740,0.566124684243094,-0.008057057857513,-0.000000213600615,0.000001015913645,10.000000000000000,0.000000000000000,balanced
1494424957.532651901245117,1494424957.712538003921509,0.082233502284477,0.095955625176430,0.069159030914307,0.026796594262123,-0.034595715176118,0.010495164404772,0.082900526981764,-0.020412690937519,-0.989002287387848,-0.983498692512512,-0.995228648185730,0.011729955673218,0.007463461474368,0.003472298210402,0.989008382832652,0.005632519721985,0.116069552341574,0.162962138652802,0.032018851488829,0.130943287163973,0.065893755735535,0.038958656824554,0.122433320310881,0.092684339731932,0.000000021085391,0.000012815314955,19.000000000000000,0.000000000000000,balanced,1494424957.388700962066650,1494424957.545897006988525,0.584030621581607,0.595898330211639,0.576430976390839,0.019467353820801,0.041678041881985,0.005758038736704,0.584059005542327,0.019467353820801,0.621864981121487,0.635295748710632,0.593067765235901,0.042227983474731,-0.085531223482556,0.013287030797530,0.622006913090716,-0.042227983474731,0.521436644925012,0.541456758975983,0.513931453227997,0.027525305747986,0.044648908244239,0.009242273088239,0.521518546441534,0.027525305747986,0.000000359231115,0.000000157905581,9.000000000000000,0.000000000000000,balanced
1494424957.732548952102661,1494424957.912450075149536,0.062856426364497,0.086611613631248,0.033429980278015,0.053181633353233,0.019377075919980,0.015211737876799,0.064670915445414,0.053181633353233,-0.997747229902368,-0.996154725551605,-0.999440729618073,0.003286004066467,0.008744942514520,0.000891183186886,0.997747627902628,0.003286004066467,0.015133158931827,0.028597636148334,0.000845355971251,0.027752280177083,0.100936393409747,0.009397907745256,0.017813847682191,0.012351944984403,-0.000000036310247,0.000000722599676,19.000000000000000,0.000000000000000,balanced,1494424957.585203886032104,1494424957.742368936538696,0.562489357259538,0.570531725883484,0.556119322776794,0.014412403106689,0.021541264322069,0.005023131703074,0.562511785549739,-0.001111686229706,0.721332960658603,0.762518525123596,0.654794156551361,0.107724368572235,-0.099467979537116,0.037288547908305,0.722296113749490,-0.107724368572235,0.396985822253757,0.496995478868484,0.305054366588592,0.191941112279892,0.124450822671254,0.065349753142997,0.402328638436717,0.191941112279892,-0.000000021471103,0.000012388119161,9.000000000000000,0.000000000000000,balanced
1494424957.932451009750366,1494424958.112359046936035,-0.043271513937629,0.022816834971309,-0.109683044254780,0.132499879226089,0.106127940302126,0.041646243324324,0.060056918847733,0.132499879226089,-0.995448975186599,-0.989835262298584,-0.999514102935791,0.009678840637207,-0.002298254715769,0.002674162473564,0.995452567099500,-0.009678840637207,-0.071716623086678,-0.021235831081867,-0.090530432760715,0.069294601678848,0.086849782018506,0.018001641726209,0.073941416890640,0.069294601678848,0.000000017252420,0.000021031591971,19.000000000000000,0.000000000000000,balanced,1494424957.781677007675171,1494424957.938842058181763,0.569675544897715,0.582685887813568,0.546240985393524,0.036444902420044,-0.007186187638177,0.012911606633377,0.569821845878485,0.033687651157379,0.788349383407169,0.817523896694183,0.766721785068512,0.050802111625671,-0.067016422748566,0.017197510152310,0.788536939321109,-0.050802111625671,0.229525874058406,0.275353610515594,0.182413965463638,0.092939645051956,0.167459948195352,0.028805773583618,0.231326391607239,0.092939645051956,-0.000000130285793,0.000003450810860,9.000000000000000,0.000000000000000,balanced
1494424958.132349014282227,1494424958.312258005142212,-0.089651424241693,-0.040854934602976,-0.119959704577923,0.079104769974947,0.046379910304064,0.027690973996708,0.093830527598700,-0.076350878924131,-0.992740270338560,-0.987695991992950,-0.999129414558411,0.011433422565460,-0.002708704848039,0.004098122964428,0.992748729016416,0.010851562023163,-0.069616328875877,-0.008445690385997,-0.100330762565136,0.091885072179139,-0.002100294210801,0.028273276760875,0.075138614739369,-0.089379359968007,0.000000007304827,0.000004237136458,19.000000000000000,0.000000000000000,balanced,1494424957.978147983551025,1494424958.135344982147217,0.537566019429101,0.542266130447388,0.534441113471985,0.007825016975403,0.032109525468614,0.002630781392515,0.537572456749398,-0.004684031009674,0.829333557022942,0.833249270915985,0.822251498699188,0.010997772216797,-0.040984173615774,0.003610932298759,0.829341418015760,0.006316661834717,0.151990022924211,0.172766417264938,0.140458017587662,0.032308399677277,0.077535851134194,0.010325428429696,0.152340347711166,-0.016306504607201,0.000000548138940,0.000000033195751,9.000000000000000,0.000000000000000,balanced
